Respondent_ID,Churn_reason,Market,Gender,AOV,App_use,Date,Age_group,Churn_type,Orders_5y,Orders_1y,Card_use,CS_contact,Shopping_search
6435232308694231,Reason for Unclassified,Italy,Female,219.02128335647512,1,2023-01-01,Age 35-44,Unclassified,21,5,0,1,0
7656497838270971,Reason for Negative Customer Service Experiences,Sweden,Female,174.96401124382368,1,2023-04-01,Age 18-24,Negative Customer Service Experiences,25,7,0,0,1
3517671407748949,Reason for Better alternatives,France,Female,130.01480048678667,1,2023-06-01,Age 18-24,Better alternatives,24,5,1,1,1
6310496716434394,Reason for Better alternatives,UK,Female,105.20067573292025,0,2023-03-01,Age 18-24,Better alternatives,17,6,1,1,0
8247089488494954,Reason for Security Concerns,Italy,Male,112.0832244691899,1,2023-02-01,Age 45-54,Security Concerns,21,8,1,0,0
8299261109131069,Reason for Hard Credit Checks,UK,Male,266.5237544470133,0,2023-05-01,Age 45-54,Hard Credit Checks,18,8,1,1,1
4917959852766028,Reason for Better alternatives,Australia,Female,225.45806323390266,1,2023-06-01,Age 35-44,Better alternatives,24,6,0,1,1
9423623272770503,Reason for High interest rates,Australia,Male,249.5229211108578,0,2023-01-01,Age 25-34,High interest rates,23,10,0,0,0
2095370343702447,Reason for Better alternatives,Italy,Female,104.90583771022543,1,2023-02-01,Age 35-44,Better alternatives,27,5,0,0,1
6625029996435678,Reason for Hard Credit Checks,Spain,Female,262.33471171886265,0,2023-01-01,Age 35-44,Hard Credit Checks,24,10,0,0,0
5116356978585164,Reason for Unclassified,Sweden,Male,204.38791165173643,1,2023-01-01,Age 25-34,Unclassified,20,10,0,0,1
8134161488506311,Reason for Lack of need,France,Male,201.89881385555225,0,2023-02-01,Age 45-54,Lack of need,17,4,1,0,1
1973938370399742,Reason for Better alternatives,Germany,Male,171.51077543699554,1,2023-01-01,Age 55+,Better alternatives,16,9,0,1,1
6237812482969869,Reason for Late payment penalties,USA,Male,204.77497178900032,1,2023-04-01,Age 45-54,Late payment penalties,22,8,1,1,0
1154745290014734,Reason for Hard Credit Checks,Spain,Female,161.29678683954728,0,2023-01-01,Age 35-44,Hard Credit Checks,25,11,0,0,0
8785189671107568,Reason for General sentiment,USA,Male,223.48534305915652,0,2023-06-01,Age 18-24,General sentiment,12,5,0,1,0
6935002991351269,Reason for Security Concerns,Germany,Female,195.8644248060781,1,2023-05-01,Age 45-54,Security Concerns,22,9,1,0,0
4477182135292206,Reason for Unclassified,Australia,Male,114.40379654698745,0,2023-05-01,Age 45-54,Unclassified,18,8,1,0,1
6347145724845832,Reason for High interest rates,Germany,Male,121.61621732600597,1,2023-05-01,Age 45-54,High interest rates,18,14,1,0,0
5023487949572803,Reason for Negative Customer Service Experiences,Germany,Male,217.96002675353034,0,2023-06-01,Age 35-44,Negative Customer Service Experiences,20,17,0,0,1
4148459544255807,Reason for Technical Issues,Italy,Male,195.1855613927551,0,2023-02-01,Age 18-24,Technical Issues,19,3,1,0,0
1583581026411293,Reason for Technical Issues,Italy,Female,132.78057164636402,0,2023-06-01,Age 25-34,Technical Issues,18,5,1,1,1
8115535240187030,Reason for Late payment penalties,UK,Male,392.79588699816355,0,2023-02-01,Age 35-44,Late payment penalties,20,4,1,0,1
9121026288363777,Reason for General sentiment,Italy,Female,335.6967547191239,1,2023-02-01,Age 35-44,General sentiment,25,7,1,1,1
3828136716044309,Reason for Account Suspension Issues,UK,Male,364.12014928749943,1,2023-06-01,Age 25-34,Account Suspension Issues,16,3,0,0,0
2668988503432826,Reason for Technical Issues,Germany,Female,261.4916025595726,0,2023-02-01,Age 25-34,Technical Issues,25,6,0,1,1
2468860214081697,Reason for Security Concerns,France,Female,306.7694259614642,0,2023-06-01,Age 25-34,Security Concerns,18,6,0,1,1
1747647789837538,Reason for Limited acceptance,Italy,Female,286.6869013494875,1,2023-01-01,Age 55+,Limited acceptance,29,9,0,1,1
3205100641932865,Reason for Limited acceptance,Spain,Female,203.3115238532825,1,2023-03-01,Age 45-54,Limited acceptance,17,5,0,1,1
4882055758333551,Reason for Security Concerns,Spain,Female,145.6442780756256,1,2023-03-01,Age 35-44,Security Concerns,23,12,0,0,1
1100544308568466,Reason for Security Concerns,UK,Female,158.20217439814957,1,2023-04-01,Age 35-44,Security Concerns,20,5,1,1,1
3293772864146222,Reason for Better alternatives,Germany,Female,201.9389562801846,0,2023-06-01,Age 18-24,Better alternatives,21,9,1,1,1
9886926476842515,Reason for Negative Customer Service Experiences,France,Male,77.12660958648917,0,2023-05-01,Age 25-34,Negative Customer Service Experiences,18,6,0,0,0
2870146664386863,Reason for Late payment penalties,Italy,Male,328.5073740977697,0,2023-03-01,Age 45-54,Late payment penalties,23,9,0,0,0
8501919264600921,Reason for Limited acceptance,Sweden,Female,205.44369376018145,1,2023-01-01,Age 45-54,Limited acceptance,27,3,0,0,1
8416944635860828,Reason for General sentiment,Australia,Male,300.4861844882415,1,2023-04-01,Age 45-54,General sentiment,14,8,1,0,1
4022310922524006,Reason for Lack of need,USA,Female,188.6675483129905,0,2023-01-01,Age 25-34,Lack of need,12,12,1,1,0
6301682108365194,Reason for Hard Credit Checks,France,Female,257.4004512677648,1,2023-04-01,Age 35-44,Hard Credit Checks,17,11,1,0,1
2849550651419332,Reason for Unclassified,UK,Male,109.47193276849796,1,2023-05-01,Age 35-44,Unclassified,26,6,0,0,1
6628476577931506,Reason for Lack of need,Germany,Female,334.51197277231387,0,2023-02-01,Age 55+,Lack of need,20,12,0,1,0
7593406748688147,Reason for General sentiment,Italy,Male,192.1103316800083,1,2023-06-01,Age 45-54,General sentiment,22,11,0,0,0
4049581511819192,Reason for Technical Issues,USA,Male,220.3468841108418,0,2023-02-01,Age 18-24,Technical Issues,24,3,1,0,0
8030764343813677,Reason for Limited acceptance,Spain,Female,263.67822018890087,0,2023-02-01,Age 35-44,Limited acceptance,19,11,1,0,0
1219988550579046,Reason for Better alternatives,Spain,Male,90.12539742159875,1,2023-01-01,Age 18-24,Better alternatives,20,4,0,1,0
7573382487346068,Reason for Account Suspension Issues,France,Male,120.0918131775284,0,2023-03-01,Age 25-34,Account Suspension Issues,27,4,1,0,1
4083005185025025,Reason for Unclassified,UK,Female,218.34718274628085,0,2023-01-01,Age 18-24,Unclassified,15,6,1,1,1
1432527538330787,Reason for Account Suspension Issues,Sweden,Male,220.35813687379084,1,2023-01-01,Age 18-24,Account Suspension Issues,11,9,0,1,1
3842987434222811,Reason for General sentiment,UK,Female,276.2219597837412,0,2023-01-01,Age 35-44,General sentiment,16,8,0,1,0
1713769582252265,Reason for Security Concerns,Germany,Female,144.29097455724585,0,2023-04-01,Age 45-54,Security Concerns,26,8,0,1,0
3209157837359855,Reason for Better alternatives,UK,Female,121.07972358224481,0,2023-06-01,Age 18-24,Better alternatives,18,7,0,0,0
1683126985601331,Reason for General sentiment,Sweden,Male,159.76988431877305,0,2023-04-01,Age 55+,General sentiment,12,11,1,0,0
9145016912868291,Reason for Account Suspension Issues,Spain,Male,157.86977491282136,0,2023-02-01,Age 55+,Account Suspension Issues,17,6,1,0,1
4062804649152058,Reason for Hard Credit Checks,Australia,Male,229.78238326507073,1,2023-02-01,Age 25-34,Hard Credit Checks,20,3,0,0,1
6484997231633914,Reason for Lack of need,Sweden,Male,259.2992963207528,1,2023-05-01,Age 35-44,Lack of need,22,11,1,1,1
8708257187851237,Reason for Unclear terms,Spain,Male,148.2646086694807,0,2023-05-01,Age 25-34,Unclear terms,21,6,1,1,0
5497202485642757,Reason for Late payment penalties,Italy,Male,72.81434878127828,1,2023-05-01,Age 55+,Late payment penalties,18,11,1,0,1
3786896369057918,Reason for Account Suspension Issues,USA,Female,209.03116924305687,0,2023-03-01,Age 25-34,Account Suspension Issues,29,9,0,0,0
7496530406280556,Reason for Security Concerns,Italy,Female,303.6688794290427,1,2023-05-01,Age 18-24,Security Concerns,18,6,0,0,1
6095298449005957,Reason for Negative Customer Service Experiences,Italy,Female,212.03030838100216,0,2023-03-01,Age 18-24,Negative Customer Service Experiences,23,10,0,0,1
2052813077737790,Reason for Technical Issues,France,Female,196.25943432109364,0,2023-01-01,Age 55+,Technical Issues,28,11,0,1,0
9982501280756865,Reason for Account Suspension Issues,Germany,Male,409.5158299967735,1,2023-05-01,Age 25-34,Account Suspension Issues,10,4,1,0,1
5603552172192227,Reason for Account Suspension Issues,UK,Female,221.0606094300009,0,2023-02-01,Age 18-24,Account Suspension Issues,18,7,0,0,0
6105116380712176,Reason for Unclassified,Italy,Male,169.0764020580828,1,2023-01-01,Age 55+,Unclassified,22,7,1,1,1
5932166241692437,Reason for Lack of need,USA,Female,234.2509539947448,0,2023-04-01,Age 18-24,Lack of need,16,5,0,0,1
2926427266890174,Reason for General sentiment,USA,Male,167.57078666676054,1,2023-05-01,Age 35-44,General sentiment,19,9,1,1,0
6186690895134298,Reason for High interest rates,USA,Female,303.13293998602404,1,2023-06-01,Age 55+,High interest rates,23,4,0,1,1
9296466509497962,Reason for Negative Customer Service Experiences,USA,Female,190.6402671924457,0,2023-01-01,Age 35-44,Negative Customer Service Experiences,22,8,0,0,0
2646143760627427,Reason for Technical Issues,UK,Male,175.47338312290998,1,2023-06-01,Age 18-24,Technical Issues,16,9,0,0,0
3826777818494295,Reason for Unclassified,Australia,Male,111.35371030141661,0,2023-03-01,Age 18-24,Unclassified,19,8,1,0,1
4094661221229360,Reason for Unclear terms,UK,Male,326.980436254657,0,2023-03-01,Age 45-54,Unclear terms,20,7,1,0,1
8717198736847341,Reason for Technical Issues,Germany,Female,95.5640046185022,1,2023-05-01,Age 18-24,Technical Issues,22,2,0,0,1
3184461607821589,Reason for Unclassified,Spain,Male,223.1633743962808,0,2023-04-01,Age 18-24,Unclassified,26,7,1,0,1
6511655639509892,Reason for Better alternatives,Germany,Female,220.58828941306172,0,2023-06-01,Age 45-54,Better alternatives,21,10,1,0,1
2743737936380524,Reason for Late payment penalties,Italy,Female,139.8630716164762,0,2023-01-01,Age 55+,Late payment penalties,17,6,0,0,1
5141989238975886,Reason for Negative Customer Service Experiences,Germany,Female,181.68468996448004,0,2023-06-01,Age 35-44,Negative Customer Service Experiences,19,8,1,0,0
1435244410291831,Reason for General sentiment,Italy,Male,328.54347475609393,1,2023-01-01,Age 35-44,General sentiment,19,12,1,1,1
9970105068777426,Reason for Account Suspension Issues,USA,Male,214.05144624448087,0,2023-06-01,Age 45-54,Account Suspension Issues,21,11,1,0,1
7301724836102855,Reason for Better alternatives,Sweden,Male,198.14941730656886,1,2023-05-01,Age 45-54,Better alternatives,16,5,0,0,1
4283191280035271,Reason for Limited acceptance,Spain,Female,297.8785583192497,0,2023-01-01,Age 35-44,Limited acceptance,21,4,1,1,1
9253371050091532,Reason for Late payment penalties,UK,Male,197.3731607996036,0,2023-01-01,Age 55+,Late payment penalties,18,10,0,0,1
5636806823562637,Reason for High interest rates,Sweden,Female,108.33746887081469,0,2023-04-01,Age 45-54,High interest rates,16,7,1,1,0
5117248342138339,Reason for Account Suspension Issues,Australia,Female,129.45531762820409,1,2023-04-01,Age 18-24,Account Suspension Issues,19,11,1,0,0
7632185934928192,Reason for Limited acceptance,UK,Female,145.61920245047236,0,2023-05-01,Age 55+,Limited acceptance,18,11,0,0,0
5515090142001605,Reason for Hard Credit Checks,Spain,Male,149.50029988975388,1,2023-02-01,Age 45-54,Hard Credit Checks,21,10,0,1,1
5078013891486376,Reason for Better alternatives,USA,Male,90.54692314252873,1,2023-04-01,Age 35-44,Better alternatives,23,6,1,1,1
5550525704199151,Reason for Late payment penalties,USA,Female,112.45509300537645,0,2023-05-01,Age 55+,Late payment penalties,25,17,0,1,1
9478459887083662,Reason for Late payment penalties,Australia,Female,173.11643299682808,0,2023-05-01,Age 35-44,Late payment penalties,23,7,0,0,1
2496971481733013,Reason for Negative Customer Service Experiences,UK,Female,193.92277632508927,1,2023-03-01,Age 25-34,Negative Customer Service Experiences,22,11,0,0,1
4379142603730632,Reason for Late payment penalties,Germany,Male,264.96481435217845,0,2023-02-01,Age 35-44,Late payment penalties,21,8,0,0,1
3273293959164162,Reason for Technical Issues,Spain,Male,123.86760885494841,1,2023-02-01,Age 35-44,Technical Issues,18,10,0,1,0
7361734631551021,Reason for High interest rates,Australia,Female,200.6814490194302,1,2023-06-01,Age 35-44,High interest rates,15,10,1,0,0
1828830567824848,Reason for Unclear terms,Spain,Female,149.00314683938916,1,2023-03-01,Age 35-44,Unclear terms,18,10,0,1,0
8302336157111070,Reason for Technical Issues,France,Male,197.37082059611015,1,2023-01-01,Age 55+,Technical Issues,20,5,1,0,0
9654102924850302,Reason for Hard Credit Checks,France,Male,235.25132767972315,1,2023-01-01,Age 25-34,Hard Credit Checks,17,3,0,1,0
5115211228792690,Reason for General sentiment,Australia,Male,155.54983447129476,1,2023-02-01,Age 18-24,General sentiment,17,5,0,0,1
3741327748306635,Reason for Lack of need,Sweden,Male,183.7607043138791,1,2023-01-01,Age 45-54,Lack of need,23,3,1,0,1
9891390697641170,Reason for General sentiment,Sweden,Male,117.25869534243374,0,2023-05-01,Age 55+,General sentiment,7,7,0,1,0
1720326588252080,Reason for Lack of need,Sweden,Female,293.5366064667124,0,2023-01-01,Age 35-44,Lack of need,29,13,0,1,1
8229282232510210,Reason for Technical Issues,Italy,Female,252.538030918325,1,2023-04-01,Age 45-54,Technical Issues,12,8,1,0,0
4405451767534321,Reason for Limited acceptance,UK,Female,459.7321193154261,0,2023-03-01,Age 45-54,Limited acceptance,16,3,1,0,0
5825963024496398,Reason for Technical Issues,France,Male,177.6531276673639,0,2023-01-01,Age 25-34,Technical Issues,23,9,0,1,1
8407048446956722,Reason for Hard Credit Checks,UK,Female,95.41983897293971,1,2023-02-01,Age 18-24,Hard Credit Checks,27,9,1,1,1
7812177509704874,Reason for Limited acceptance,France,Male,148.50201165295547,0,2023-03-01,Age 18-24,Limited acceptance,20,10,0,0,0
8759143812157892,Reason for Unclassified,Italy,Male,154.63696811743307,1,2023-01-01,Age 45-54,Unclassified,19,6,0,0,0
3761386604848969,Reason for Limited acceptance,Germany,Male,208.00009457777543,1,2023-04-01,Age 25-34,Limited acceptance,23,9,0,0,0
8140388323850878,Reason for Hard Credit Checks,Spain,Female,163.1213901192151,0,2023-04-01,Age 55+,Hard Credit Checks,20,5,0,0,0
9073901909986367,Reason for Limited acceptance,USA,Female,149.7625126755394,0,2023-03-01,Age 25-34,Limited acceptance,32,8,1,1,1
7516765354279534,Reason for Technical Issues,France,Male,267.9035122382527,1,2023-04-01,Age 35-44,Technical Issues,13,11,1,0,1
6035508504982661,Reason for Hard Credit Checks,France,Male,123.18535966770867,0,2023-02-01,Age 35-44,Hard Credit Checks,23,7,0,0,1
8394202224043843,Reason for Lack of need,France,Female,179.7706401545882,0,2023-05-01,Age 45-54,Lack of need,24,12,1,0,0
4991329581145383,Reason for Hard Credit Checks,UK,Female,206.7233307453322,1,2023-02-01,Age 25-34,Hard Credit Checks,18,6,0,1,1
4799398244427848,Reason for Security Concerns,France,Male,316.10779579509244,0,2023-01-01,Age 18-24,Security Concerns,19,6,0,1,1
2260765282212730,Reason for Security Concerns,UK,Female,259.5937870559804,1,2023-05-01,Age 35-44,Security Concerns,20,6,0,0,0
4186982683913045,Reason for High interest rates,Australia,Male,239.18118434607706,1,2023-04-01,Age 45-54,High interest rates,28,7,1,1,0
4519647079775611,Reason for Security Concerns,France,Male,203.32569764476762,0,2023-05-01,Age 35-44,Security Concerns,17,6,0,0,0
6721826945725890,Reason for Security Concerns,France,Male,336.01562505792754,0,2023-05-01,Age 45-54,Security Concerns,21,11,1,0,1
6013767082241045,Reason for General sentiment,UK,Male,199.17015408234613,0,2023-01-01,Age 55+,General sentiment,19,9,1,0,0
6177368757110021,Reason for Negative Customer Service Experiences,Italy,Female,374.7529826452936,1,2023-02-01,Age 25-34,Negative Customer Service Experiences,16,6,0,1,1
3263657969938321,Reason for Unclassified,Australia,Female,113.39184126586056,0,2023-04-01,Age 18-24,Unclassified,23,8,0,0,0
1214425869891188,Reason for Limited acceptance,France,Male,120.115446276911,0,2023-03-01,Age 18-24,Limited acceptance,12,8,1,0,0
6109424463327691,Reason for Better alternatives,Italy,Female,140.66411341252464,1,2023-02-01,Age 55+,Better alternatives,21,7,0,0,0
3833821929752776,Reason for Unclassified,Germany,Male,176.7072237136784,1,2023-02-01,Age 25-34,Unclassified,18,11,1,0,1
3562358695598026,Reason for Hard Credit Checks,France,Male,130.23193421331274,1,2023-03-01,Age 25-34,Hard Credit Checks,14,6,0,1,0
8700618587369058,Reason for High interest rates,Italy,Female,189.8548218385003,0,2023-06-01,Age 35-44,High interest rates,19,15,1,1,0
7833006250536872,Reason for Security Concerns,UK,Male,235.17973617734907,0,2023-03-01,Age 35-44,Security Concerns,19,12,0,0,1
4025593165581450,Reason for Lack of need,Italy,Male,121.90783739528376,1,2023-03-01,Age 25-34,Lack of need,12,8,1,0,0
1301967797373484,Reason for Negative Customer Service Experiences,Sweden,Male,164.4530738791001,0,2023-04-01,Age 35-44,Negative Customer Service Experiences,16,5,1,0,1
